Time_Key,Year,Month,Month_Number,Season,Decade,Year_Category,Period_Type
2015_Annual,2015,Annual,0,Annual,2015-2020,Middle Period,Annual
2015_January,2015,January,1,DJF (Summer),2015-2020,Middle Period,Monthly
2015_February,2015,February,2,DJF (Summer),2015-2020,Middle Period,Monthly
2015_March,2015,March,3,MAM (Autumn),2015-2020,Middle Period,Monthly
2015_April,2015,April,4,MAM (Autumn),2015-2020,Middle Period,Monthly
2015_May,2015,May,5,MAM (Autumn),2015-2020,Middle Period,Monthly
2015_June,2015,June,6,JJA (Winter),2015-2020,Middle Period,Monthly
2015_July,2015,July,7,JJA (Winter),2015-2020,Middle Period,Monthly
2015_August,2015,August,8,JJA (Winter),2015-2020,Middle Period,Monthly
2015_September,2015,September,9,SON (Spring),2015-2020,Middle Period,Monthly
2015_October,2015,October,10,SON (Spring),2015-2020,Middle Period,Monthly
2015_November,2015,November,11,SON (Spring),2015-2020,Middle Period,Monthly
2015_December,2015,December,12,DJF (Summer),2015-2020,Middle Period,Monthly
2016_Annual,2016,Annual,0,Annual,2015-2020,Middle Period,Annual
2016_January,2016,January,1,DJF (Summer),2015-2020,Middle Period,Monthly
2016_February,2016,February,2,DJF (Summer),2015-2020,Middle Period,Monthly
2016_March,2016,March,3,MAM (Autumn),2015-2020,Middle Period,Monthly
2016_April,2016,April,4,MAM (Autumn),2015-2020,Middle Period,Monthly
2016_May,2016,May,5,MAM (Autumn),2015-2020,Middle Period,Monthly
2016_June,2016,June,6,JJA (Winter),2015-2020,Middle Period,Monthly
2016_July,2016,July,7,JJA (Winter),2015-2020,Middle Period,Monthly
2016_August,2016,August,8,JJA (Winter),2015-2020,Middle Period,Monthly
2016_September,2016,September,9,SON (Spring),2015-2020,Middle Period,Monthly
2016_October,2016,October,10,SON (Spring),2015-2020,Middle Period,Monthly
2016_November,2016,November,11,SON (Spring),2015-2020,Middle Period,Monthly
2016_December,2016,December,12,DJF (Summer),2015-2020,Middle Period,Monthly
2017_Annual,2017,Annual,0,Annual,2015-2020,Recent Period,Annual
2017_January,2017,January,1,DJF (Summer),2015-2020,Recent Period,Monthly
2017_February,2017,February,2,DJF (Summer),2015-2020,Recent Period,Monthly
2017_March,2017,March,3,MAM (Autumn),2015-2020,Recent Period,Monthly
2017_April,2017,April,4,MAM (Autumn),2015-2020,Recent Period,Monthly
2017_May,2017,May,5,MAM (Autumn),2015-2020,Recent Period,Monthly
2017_June,2017,June,6,JJA (Winter),2015-2020,Recent Period,Monthly
2017_July,2017,July,7,JJA (Winter),2015-2020,Recent Period,Monthly
2017_August,2017,August,8,JJA (Winter),2015-2020,Recent Period,Monthly
2017_September,2017,September,9,SON (Spring),2015-2020,Recent Period,Monthly
2017_October,2017,October,10,SON (Spring),2015-2020,Recent Period,Monthly
2017_November,2017,November,11,SON (Spring),2015-2020,Recent Period,Monthly
2017_December,2017,December,12,DJF (Summer),2015-2020,Recent Period,Monthly
2018_Annual,2018,Annual,0,Annual,2015-2020,Recent Period,Annual
2018_January,2018,January,1,DJF (Summer),2015-2020,Recent Period,Monthly
2018_February,2018,February,2,DJF (Summer),2015-2020,Recent Period,Monthly
2018_March,2018,March,3,MAM (Autumn),2015-2020,Recent Period,Monthly
2018_April,2018,April,4,MAM (Autumn),2015-2020,Recent Period,Monthly
2018_May,2018,May,5,MAM (Autumn),2015-2020,Recent Period,Monthly
2018_June,2018,June,6,JJA (Winter),2015-2020,Recent Period,Monthly
2018_July,2018,July,7,JJA (Winter),2015-2020,Recent Period,Monthly
2018_August,2018,August,8,JJA (Winter),2015-2020,Recent Period,Monthly
2018_September,2018,September,9,SON (Spring),2015-2020,Recent Period,Monthly
2018_October,2018,October,10,SON (Spring),2015-2020,Recent Period,Monthly
2018_November,2018,November,11,SON (Spring),2015-2020,Recent Period,Monthly
2018_December,2018,December,12,DJF (Summer),2015-2020,Recent Period,Monthly
2019_Annual,2019,Annual,0,Annual,2015-2020,Recent Period,Annual
2019_January,2019,January,1,DJF (Summer),2015-2020,Recent Period,Monthly
2019_February,2019,February,2,DJF (Summer),2015-2020,Recent Period,Monthly
2019_March,2019,March,3,MAM (Autumn),2015-2020,Recent Period,Monthly
2019_April,2019,April,4,MAM (Autumn),2015-2020,Recent Period,Monthly
2019_May,2019,May,5,MAM (Autumn),2015-2020,Recent Period,Monthly
2019_June,2019,June,6,JJA (Winter),2015-2020,Recent Period,Monthly
2019_July,2019,July,7,JJA (Winter),2015-2020,Recent Period,Monthly
2019_August,2019,August,8,JJA (Winter),2015-2020,Recent Period,Monthly
2019_September,2019,September,9,SON (Spring),2015-2020,Recent Period,Monthly
2019_October,2019,October,10,SON (Spring),2015-2020,Recent Period,Monthly
2019_November,2019,November,11,SON (Spring),2015-2020,Recent Period,Monthly
2019_December,2019,December,12,DJF (Summer),2015-2020,Recent Period,Monthly
2020_Annual,2020,Annual,0,Annual,2015-2020,Recent Period,Annual
2020_January,2020,January,1,DJF (Summer),2015-2020,Recent Period,Monthly
2020_February,2020,February,2,DJF (Summer),2015-2020,Recent Period,Monthly
2020_March,2020,March,3,MAM (Autumn),2015-2020,Recent Period,Monthly
2020_April,2020,April,4,MAM (Autumn),2015-2020,Recent Period,Monthly
2020_May,2020,May,5,MAM (Autumn),2015-2020,Recent Period,Monthly
2020_June,2020,June,6,JJA (Winter),2015-2020,Recent Period,Monthly
2020_July,2020,July,7,JJA (Winter),2015-2020,Recent Period,Monthly
2020_August,2020,August,8,JJA (Winter),2015-2020,Recent Period,Monthly
2020_September,2020,September,9,SON (Spring),2015-2020,Recent Period,Monthly
2020_October,2020,October,10,SON (Spring),2015-2020,Recent Period,Monthly
2020_November,2020,November,11,SON (Spring),2015-2020,Recent Period,Monthly
2020_December,2020,December,12,DJF (Summer),2015-2020,Recent Period,Monthly
2010_DJF,2010,DJF,99,DJF (Summer),2010-2014,Early Period,Seasonal
2010_MAM,2010,MAM,99,MAM (Autumn),2010-2014,Early Period,Seasonal
2010_JJA,2010,JJA,99,JJA (Winter),2010-2014,Early Period,Seasonal
2010_SON,2010,SON,99,SON (Spring),2010-2014,Early Period,Seasonal
2011_DJF,2011,DJF,99,DJF (Summer),2010-2014,Early Period,Seasonal
2011_MAM,2011,MAM,99,MAM (Autumn),2010-2014,Early Period,Seasonal
2011_JJA,2011,JJA,99,JJA (Winter),2010-2014,Early Period,Seasonal
2011_SON,2011,SON,99,SON (Spring),2010-2014,Early Period,Seasonal
2012_DJF,2012,DJF,99,DJF (Summer),2010-2014,Early Period,Seasonal
2012_MAM,2012,MAM,99,MAM (Autumn),2010-2014,Early Period,Seasonal
2012_JJA,2012,JJA,99,JJA (Winter),2010-2014,Early Period,Seasonal
2012_SON,2012,SON,99,SON (Spring),2010-2014,Early Period,Seasonal
2013_DJF,2013,DJF,99,DJF (Summer),2010-2014,Early Period,Seasonal
2013_MAM,2013,MAM,99,MAM (Autumn),2010-2014,Early Period,Seasonal
2013_JJA,2013,JJA,99,JJA (Winter),2010-2014,Early Period,Seasonal
2013_SON,2013,SON,99,SON (Spring),2010-2014,Early Period,Seasonal
2014_DJF,2014,DJF,99,DJF (Summer),2010-2014,Middle Period,Seasonal
2014_MAM,2014,MAM,99,MAM (Autumn),2010-2014,Middle Period,Seasonal
2014_JJA,2014,JJA,99,JJA (Winter),2010-2014,Middle Period,Seasonal
2014_SON,2014,SON,99,SON (Spring),2010-2014,Middle Period,Seasonal
2015_DJF,2015,DJF,99,DJF (Summer),2015-2020,Middle Period,Seasonal
2015_MAM,2015,MAM,99,MAM (Autumn),2015-2020,Middle Period,Seasonal
2015_JJA,2015,JJA,99,JJA (Winter),2015-2020,Middle Period,Seasonal
2015_SON,2015,SON,99,SON (Spring),2015-2020,Middle Period,Seasonal
2016_DJF,2016,DJF,99,DJF (Summer),2015-2020,Middle Period,Seasonal
2016_MAM,2016,MAM,99,MAM (Autumn),2015-2020,Middle Period,Seasonal
2016_JJA,2016,JJA,99,JJA (Winter),2015-2020,Middle Period,Seasonal
2016_SON,2016,SON,99,SON (Spring),2015-2020,Middle Period,Seasonal
2017_DJF,2017,DJF,99,DJF (Summer),2015-2020,Recent Period,Seasonal
2017_MAM,2017,MAM,99,MAM (Autumn),2015-2020,Recent Period,Seasonal
2017_JJA,2017,JJA,99,JJA (Winter),2015-2020,Recent Period,Seasonal
2017_SON,2017,SON,99,SON (Spring),2015-2020,Recent Period,Seasonal
2018_DJF,2018,DJF,99,DJF (Summer),2015-2020,Recent Period,Seasonal
2018_MAM,2018,MAM,99,MAM (Autumn),2015-2020,Recent Period,Seasonal
2018_JJA,2018,JJA,99,JJA (Winter),2015-2020,Recent Period,Seasonal
2018_SON,2018,SON,99,SON (Spring),2015-2020,Recent Period,Seasonal
2019_DJF,2019,DJF,99,DJF (Summer),2015-2020,Recent Period,Seasonal
2019_MAM,2019,MAM,99,MAM (Autumn),2015-2020,Recent Period,Seasonal
2019_JJA,2019,JJA,99,JJA (Winter),2015-2020,Recent Period,Seasonal
2019_SON,2019,SON,99,SON (Spring),2015-2020,Recent Period,Seasonal
2020_DJF,2020,DJF,99,DJF (Summer),2015-2020,Recent Period,Seasonal
2020_MAM,2020,MAM,99,MAM (Autumn),2015-2020,Recent Period,Seasonal
2020_JJA,2020,JJA,99,JJA (Winter),2015-2020,Recent Period,Seasonal
2020_SON,2020,SON,99,SON (Spring),2015-2020,Recent Period,Seasonal
